Data supplied by UK-AIR on 20/8/2021
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2021,01:00,0.249988,R,mgm-3,42.513,R,ugm-3 (Ref.eq),9.66837,R,ugm-3,38.74521,R,ugm-3,53.56984,R,ugm-3,1.66308,R,ugm-3,43.000,R,ugm-3 (BAM),1.02701,R,ugm-3,3.70,P,ugm-3,,,,,,,,,,,,,8.10,P,ugm-3,,,
01-01-2021,02:00,0.143932,R,mgm-3,39.614,R,ugm-3 (Ref.eq),4.24465,R,ugm-3,41.59698,R,ugm-3,48.10535,R,ugm-3,5.88732,R,ugm-3,38.000,R,ugm-3 (BAM),0.85584,R,ugm-3,2.90,P,ugm-3,,,,,,,,,,,,,6.20,P,ugm-3,,,
01-01-2021,03:00,0.196013,R,mgm-3,20.290,R,ugm-3 (Ref.eq),3.97936,R,ugm-3,35.95699,R,ugm-3,42.05859,R,ugm-3,10.42753,R,ugm-3,17.000,R,ugm-3 (BAM),0.57769,R,ugm-3,1.90,P,ugm-3,,,,,,,,,,,,,3.70,P,ugm-3,,,
01-01-2021,04:00,0.176128,R,mgm-3,14.493,R,ugm-3 (Ref.eq),2.87398,R,ugm-3,27.03645,R,ugm-3,31.44316,R,ugm-3,19.20861,R,ugm-3,18.000,R,ugm-3 (BAM),0.77026,R,ugm-3,1.30,P,ugm-3,,,,,,,,,,,,,2.40,P,ugm-3,,,
01-01-2021,05:00,0.170446,R,mgm-3,14.493,R,ugm-3 (Ref.eq),2.21076,R,ugm-3,24.69407,R,ugm-3,28.08385,R,ugm-3,16.26496,R,ugm-3,17.000,R,ugm-3 (BAM),0.51350,R,ugm-3,1.40,P,ugm-3,,,,,,,,,,,,,2.40,P,ugm-3,,,
01-01-2021,06:00,0.144880,R,mgm-3,10.628,R,ugm-3 (Ref.eq),2.96241,R,ugm-3,24.48216,R,ugm-3,29.02446,R,ugm-3,13.96990,R,ugm-3,17.000,R,ugm-3 (BAM),0.77026,R,ugm-3,1.20,P,ugm-3,,,,,,,,,,,,,2.00,P,ugm-3,,,
01-01-2021,07:00,0.093746,R,mgm-3,9.662,R,ugm-3 (Ref.eq),2.21076,R,ugm-3,19.92385,R,ugm-3,23.31363,R,ugm-3,20.10668,R,ugm-3,11.000,R,ugm-3 (BAM),0.51350,R,ugm-3,0.80,P,ugm-3,,,,,,,,,,,,,1.30,P,ugm-3,,,
01-01-2021,08:00,0.090904,R,mgm-3,6.763,R,ugm-3 (Ref.eq),3.00663,R,ugm-3,23.33938,R,ugm-3,27.94948,R,ugm-3,18.75958,R,ugm-3,9.000,R,ugm-3 (BAM),0.51350,R,ugm-3,0.60,P,ugm-3,,,,,,,,,,,,,1.10,P,ugm-3,,,
01-01-2021,09:00,0.079542,R,mgm-3,8.696,R,ugm-3 (Ref.eq),7.64921,R,ugm-3,27.17221,R,ugm-3,38.90084,R,ugm-3,12.17377,R,ugm-3,8.000,R,ugm-3 (BAM),0.57769,R,ugm-3,0.60,P,ugm-3,,,,,,,,,,,,,1.10,P,ugm-3,,,
01-01-2021,10:00,0.093746,R,mgm-3,2.899,R,ugm-3 (Ref.eq),5.79218,R,ugm-3,27.93685,R,ugm-3,36.81806,R,ugm-3,10.67700,R,ugm-3,7.000,R,ugm-3 (BAM),0.64188,R,ugm-3,0.70,P,ugm-3,,,,,,,,,,,,,1.10,P,ugm-3,,,
01-01-2021,11:00,0.093746,R,mgm-3,1.932,R,ugm-3 (Ref.eq),5.26160,R,ugm-3,22.50207,R,ugm-3,30.56974,R,ugm-3,12.87227,R,ugm-3,7.000,R,ugm-3 (BAM),0.38513,R,ugm-3,0.70,P,ugm-3,,,,,,,,,,,,,1.10,P,ugm-3,,,
01-01-2021,12:00,0.136357,R,mgm-3,4.831,R,ugm-3 (Ref.eq),8.13558,R,ugm-3,23.40307,R,ugm-3,35.87746,R,ugm-3,10.87657,R,ugm-3,9.000,R,ugm-3 (BAM),0.44932,R,ugm-3,1.00,P,ugm-3,,,,,,,,,,,,,1.50,P,ugm-3,,,
01-01-2021,13:00,0.178969,R,mgm-3,6.763,R,ugm-3 (Ref.eq),9.28517,R,ugm-3,24.19347,R,ugm-3,38.43053,R,ugm-3,9.57936,R,ugm-3,10.000,R,ugm-3 (BAM),0.64188,R,ugm-3,1.20,P,ugm-3,,,,,,,,,,,,,1.90,P,ugm-3,,,
01-01-2021,14:00,0.110790,R,mgm-3,3.865,R,ugm-3 (Ref.eq),6.01326,R,ugm-3,18.05742,R,ugm-3,27.27762,R,ugm-3,24.29765,R,ugm-3,5.000,R,ugm-3 (BAM),0.44932,R,ugm-3,0.40,P,ugm-3,,,,,,,,,,,,,0.60,P,ugm-3,,,
01-01-2021,15:00,0.110790,R,mgm-3,4.831,R,ugm-3 (Ref.eq),5.96904,R,ugm-3,21.21578,R,ugm-3,30.36818,R,ugm-3,24.19786,R,ugm-3,4.000,R,ugm-3 (BAM),0.57769,R,ugm-3,0.40,P,ugm-3,,,,,,,,,,,,,0.60,P,ugm-3,,,
01-01-2021,16:00,0.076701,R,mgm-3,3.865,R,ugm-3 (Ref.eq),4.68680,R,ugm-3,20.15847,R,ugm-3,27.34480,R,ugm-3,26.34324,R,ugm-3,3.000,R,ugm-3 (BAM),0.44932,R,ugm-3,0.60,P,ugm-3,,,,,,,,,,,,,0.80,P,ugm-3,,,
01-01-2021,17:00,0.062497,R,mgm-3,2.899,R,ugm-3 (Ref.eq),5.65953,R,ugm-3,25.31841,R,ugm-3,33.99624,R,ugm-3,23.05034,R,ugm-3,2.000,R,ugm-3 (BAM),0.57769,R,ugm-3,0.50,P,ugm-3,,,,,,,,,,,,,0.70,P,ugm-3,,,
01-01-2021,18:00,0.073860,R,mgm-3,3.865,R,ugm-3 (Ref.eq),6.49962,R,ugm-3,28.93489,R,ugm-3,38.90084,R,ugm-3,19.05894,R,ugm-3,4.000,R,ugm-3 (BAM),0.25675,R,ugm-3,0.80,P,ugm-3,,,,,,,,,,,,,1.30,P,ugm-3,,,
