Data supplied by UK-AIR on 30/3/2010
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM10 particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM10 (Hourly measured)",status,unit,"Non-volatile PM2.5 (Hourly measured)",status,unit,"Ozone",status,unit,"PM2.5 particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM10 (Hourly measured)",status,unit,"Volatile PM2.5 (Hourly measured)",status,unit
 
01-01-2009,01:00,,,,45,R,ugm-3 (TEOM FDMS),3,R,ugm-3,27,R,ugm-3,31,R,ugm-3,37,R,ugm-3 (TEOM FDMS),41,R,ugm-3 (TEOM FDMS),20,R,ugm-3,51,R,ugm-3 (TEOM FDMS),0,R,ugm-3,8,R,ugm-3 (TEOM FDMS),10,R,ugm-3 (TEOM FDMS)
01-01-2009,02:00,,,,44,R,ugm-3 (TEOM FDMS),3,R,ugm-3,31,R,ugm-3,34,R,ugm-3,34,R,ugm-3 (TEOM FDMS),33,R,ugm-3 (TEOM FDMS),20,R,ugm-3,41,R,ugm-3 (TEOM FDMS),0,R,ugm-3,10,R,ugm-3 (TEOM FDMS),8,R,ugm-3 (TEOM FDMS)
01-01-2009,03:00,,,,43,R,ugm-3 (TEOM FDMS),3,R,ugm-3,29,R,ugm-3,32,R,ugm-3,33,R,ugm-3 (TEOM FDMS),35,R,ugm-3 (TEOM FDMS),20,R,ugm-3,46,R,ugm-3 (TEOM FDMS),0,R,ugm-3,10,R,ugm-3 (TEOM FDMS),11,R,ugm-3 (TEOM FDMS)
01-01-2009,04:00,,,,42,R,ugm-3 (TEOM FDMS),3,R,ugm-3,29,R,ugm-3,32,R,ugm-3,32,R,ugm-3 (TEOM FDMS),36,R,ugm-3 (TEOM FDMS),22,R,ugm-3,47,R,ugm-3 (TEOM FDMS),0,R,ugm-3,10,R,ugm-3 (TEOM FDMS),11,R,ugm-3 (TEOM FDMS)
01-01-2009,05:00,,,,40,R,ugm-3 (TEOM FDMS),3,R,ugm-3,25,R,ugm-3,29,R,ugm-3,30,R,ugm-3 (TEOM FDMS),32,R,ugm-3 (TEOM FDMS),24,R,ugm-3,41,R,ugm-3 (TEOM FDMS),3,R,ugm-3,10,R,ugm-3 (TEOM FDMS),9,R,ugm-3 (TEOM FDMS)
01-01-2009,06:00,,,,41,R,ugm-3 (TEOM FDMS),4,R,ugm-3,27,R,ugm-3,32,R,ugm-3,30,R,ugm-3 (TEOM FDMS),31,R,ugm-3 (TEOM FDMS),22,R,ugm-3,42,R,ugm-3 (TEOM FDMS),3,R,ugm-3,11,R,ugm-3 (TEOM FDMS),11,R,ugm-3 (TEOM FDMS)
01-01-2009,07:00,,,,37,R,ugm-3 (TEOM FDMS),3,R,ugm-3,25,R,ugm-3,29,R,ugm-3,28,R,ugm-3 (TEOM FDMS),31,R,ugm-3 (TEOM FDMS),22,R,ugm-3,41,R,ugm-3 (TEOM FDMS),0,R,ugm-3,9,R,ugm-3 (TEOM FDMS),10,R,ugm-3 (TEOM FDMS)
01-01-2009,08:00,,,,,,,6,R,ugm-3,32,R,ugm-3,42,R,ugm-3,,,,30,R,ugm-3 (TEOM FDMS),12,R,ugm-3,40,R,ugm-3 (TEOM FDMS),5,R,ugm-3,,,,10,R,ugm-3 (TEOM FDMS)
01-01-2009,09:00,,,,37,R,ugm-3 (TEOM FDMS),5,R,ugm-3,31,R,ugm-3,38,R,ugm-3,27,R,ugm-3 (TEOM FDMS),30,R,ugm-3 (TEOM FDMS),12,R,ugm-3,39,R,ugm-3 (TEOM FDMS),8,R,ugm-3,10,R,ugm-3 (TEOM FDMS),9,R,ugm-3 (TEOM FDMS)
01-01-2009,10:00,,,,38,R,ugm-3 (TEOM FDMS),6,R,ugm-3,29,R,ugm-3,38,R,ugm-3,30,R,ugm-3 (TEOM FDMS),32,R,ugm-3 (TEOM FDMS),16,R,ugm-3,41,R,ugm-3 (TEOM FDMS),5,R,ugm-3,8,R,ugm-3 (TEOM FDMS),9,R,ugm-3 (TEOM FDMS)
01-01-2009,11:00,,,,42,R,ugm-3 (TEOM FDMS),6,R,ugm-3,25,R,ugm-3,34,R,ugm-3,32,R,ugm-3 (TEOM FDMS),34,R,ugm-3 (TEOM FDMS),18,R,ugm-3,43,R,ugm-3 (TEOM FDMS),3,R,ugm-3,10,R,ugm-3 (TEOM FDMS),9,R,ugm-3 (TEOM FDMS)
