Data supplied by UK-AIR on 5/4/2008
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM10 particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"Sulphur dioxide",status,unit
 
01-01-1997,01:00,,,,,,,,,,,,,,,,,,,,,
01-01-1997,02:00,1.0,R,mgm-3,20,R,ugm-3 (GRAV EQ),0,R,ugm-3,17,R,ugm-3,17,R,ugm-3,58,R,ugm-3,5,R,ugm-3
01-01-1997,03:00,1.0,R,mgm-3,17,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,60,R,ugm-3,3,R,ugm-3
01-01-1997,04:00,1.0,R,mgm-3,17,R,ugm-3 (GRAV EQ),1,R,ugm-3,11,R,ugm-3,13,R,ugm-3,58,R,ugm-3,3,R,ugm-3
01-01-1997,05:00,1.0,R,mgm-3,16,R,ugm-3 (GRAV EQ),0,R,ugm-3,13,R,ugm-3,13,R,ugm-3,60,R,ugm-3,3,R,ugm-3
01-01-1997,06:00,0.8,R,mgm-3,16,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,58,R,ugm-3,3,R,ugm-3
01-01-1997,07:00,0.8,R,mgm-3,14,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,60,R,ugm-3,3,R,ugm-3
01-01-1997,08:00,0.8,R,mgm-3,16,R,ugm-3 (GRAV EQ),1,R,ugm-3,15,R,ugm-3,17,R,ugm-3,60,R,ugm-3,3,R,ugm-3
01-01-1997,09:00,0.8,R,mgm-3,16,R,ugm-3 (GRAV EQ),1,R,ugm-3,11,R,ugm-3,13,R,ugm-3,62,R,ugm-3,3,R,ugm-3
01-01-1997,10:00,0.7,R,mgm-3,16,R,ugm-3 (GRAV EQ),1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,60,R,ugm-3,3,R,ugm-3
01-01-1997,11:00,0.7,R,mgm-3,18,R,ugm-3 (GRAV EQ),1,R,ugm-3,15,R,ugm-3,17,R,ugm-3,60,R,ugm-3,3,R,ugm-3
01-01-1997,12:00,0.7,R,mgm-3,25,R,ugm-3 (GRAV EQ),3,R,ugm-3,15,R,ugm-3,19,R,ugm-3,60,R,ugm-3,5,R,ugm-3
01-01-1997,13:00,0.7,R,mgm-3,22,R,ugm-3 (GRAV EQ),1,R,ugm-3,17,R,ugm-3,19,R,ugm-3,56,R,ugm-3,3,R,ugm-3
01-01-1997,14:00,0.7,R,mgm-3,25,R,ugm-3 (GRAV EQ),1,R,ugm-3,27,R,ugm-3,29,R,ugm-3,48,R,ugm-3,3,R,ugm-3
01-01-1997,15:00,0.9,R,mgm-3,26,R,ugm-3 (GRAV EQ),1,R,ugm-3,29,R,ugm-3,31,R,ugm-3,46,R,ugm-3,3,R,ugm-3
