Data supplied by UK-AIR on 1/5/2018
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Black carbon",status,unit,"UV Particulate Matter",status,unit
 
01-01-2017,01:00,0.133394,R,mgm-3,27.200,R,ugm-3 (TEOM FDMS),0.97289,R,ugm-3,11.81989,R,ugm-3,13.31164,R,ugm-3,18.200,R,ugm-3 (TEOM FDMS),11.600,R,ugm-3 (TEOM FDMS),39.82553,R,ugm-3,17.300,R,ugm-3 (TEOM FDMS),1.03953,R,ugm-3,9.000,R,ugm-3 (TEOM FDMS),5.700,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.50,R,ugm-3
01-01-2017,02:00,0.047080,R,mgm-3,19.100,R,ugm-3 (TEOM FDMS),1.24314,R,ugm-3,7.50529,R,ugm-3,9.41141,R,ugm-3,11.900,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS),54.90071,R,ugm-3,7.100,R,ugm-3 (TEOM FDMS),,,,7.200,R,ugm-3 (TEOM FDMS),3.700,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.20,R,ugm-3
01-01-2017,03:00,0.079449,R,mgm-3,18.700,R,ugm-3 (TEOM FDMS),1.01343,R,ugm-3,10.84627,R,ugm-3,12.40017,R,ugm-3,12.100,R,ugm-3 (TEOM FDMS),4.100,R,ugm-3 (TEOM FDMS),47.80151,R,ugm-3,7.300,R,ugm-3 (TEOM FDMS),1.63113,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),3.200,R,ugm-3 (TEOM FDMS),0.60,R,ugm-3,0.20,R,ugm-3
01-01-2017,04:00,0.061793,R,mgm-3,15.500,R,ugm-3 (TEOM FDMS),0.93236,R,ugm-3,10.33467,R,ugm-3,11.76427,R,ugm-3,8.700,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS),46.90743,R,ugm-3,5.200,R,ugm-3 (TEOM FDMS),2.34093,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.30,R,ugm-3
01-01-2017,05:00,0.073563,R,mgm-3,12.300,R,ugm-3 (TEOM FDMS),0.72967,R,ugm-3,9.50082,R,ugm-3,10.61963,R,ugm-3,5.500,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS),53.58554,R,ugm-3,5.300,R,ugm-3 (TEOM FDMS),2.48195,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),3.500,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.20,R,ugm-3
01-01-2017,06:00,0.070620,R,mgm-3,10.900,R,ugm-3 (TEOM FDMS),0.93236,R,ugm-3,7.02796,R,ugm-3,8.45755,R,ugm-3,4.100,R,ugm-3 (TEOM FDMS),0.100,R,ugm-3 (TEOM FDMS),49.43099,R,ugm-3,3.800,R,ugm-3 (TEOM FDMS),2.97888,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),3.700,R,ugm-3 (TEOM FDMS),0.20,R,ugm-3,0.30,R,ugm-3
01-01-2017,07:00,0.082390,R,mgm-3,10.600,R,ugm-3 (TEOM FDMS),0.68913,R,ugm-3,5.49318,R,ugm-3,6.54983,R,ugm-3,6.300,R,ugm-3 (TEOM FDMS),0.900,R,ugm-3 (TEOM FDMS),57.10895,R,ugm-3,2.500,R,ugm-3 (TEOM FDMS),3.47447,R,ugm-3,4.300,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS),0.10,R,ugm-3,0.20,R,ugm-3
01-01-2017,08:00,0.076505,R,mgm-3,11.800,R,ugm-3 (TEOM FDMS),0.72967,R,ugm-3,6.06693,R,ugm-3,7.18574,R,ugm-3,7.200,R,ugm-3 (TEOM FDMS),2.100,R,ugm-3 (TEOM FDMS),57.89775,R,ugm-3,4.100,R,ugm-3 (TEOM FDMS),3.47514,R,ugm-3,4.600,R,ugm-3 (TEOM FDMS),2.000,R,ugm-3 (TEOM FDMS),0.10,R,ugm-3,0.10,R,ugm-3
01-01-2017,09:00,0.079449,R,mgm-3,9.900,R,ugm-3 (TEOM FDMS),0.77021,R,ugm-3,8.35763,R,ugm-3,9.53859,R,ugm-3,6.100,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS),51.11437,R,ugm-3,3.300,R,ugm-3 (TEOM FDMS),3.97139,R,ugm-3,3.800,R,ugm-3 (TEOM FDMS),1.500,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.00,R,ugm-3
01-01-2017,10:00,0.088275,R,mgm-3,4.300,R,ugm-3 (TEOM FDMS),0.77021,R,ugm-3,7.65813,R,ugm-3,8.83910,R,ugm-3,1.400,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS),55.58374,R,ugm-3,3.000,R,ugm-3 (TEOM FDMS),4.04124,R,ugm-3,2.900,R,ugm-3 (TEOM FDMS),0.200,R,ugm-3 (TEOM FDMS),0.10,R,ugm-3,0.00,R,ugm-3
01-01-2017,11:00,0.079449,R,mgm-3,5.600,R,ugm-3 (TEOM FDMS),1.05397,R,ugm-3,6.65072,R,ugm-3,8.26678,R,ugm-3,2.100,R,ugm-3 (TEOM FDMS),0.300,R,ugm-3 (TEOM FDMS),65.83864,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),3.12057,R,ugm-3,3.500,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS),0.10,R,ugm-3,0.20,R,ugm-3
01-01-2017,12:00,0.085334,R,mgm-3,3.800,R,ugm-3 (TEOM FDMS),1.09451,R,ugm-3,8.49628,R,ugm-3,10.17450,R,ugm-3,1.000,R,ugm-3 (TEOM FDMS),-0.400,R,ugm-3 (TEOM FDMS),58.21407,R,ugm-3,0.200,R,ugm-3 (TEOM FDMS),3.33278,R,ugm-3,2.800,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.00,R,ugm-3
01-01-2017,13:00,0.076505,R,mgm-3,1.700,R,ugm-3 (TEOM FDMS),0.89182,R,ugm-3,4.22854,R,ugm-3,5.59598,R,ugm-3,1.000,R,ugm-3 (TEOM FDMS),-0.900,R,ugm-3 (TEOM FDMS),60.26415,R,ugm-3,0.000,R,ugm-3 (TEOM FDMS),3.19042,R,ugm-3,0.700,R,ugm-3 (TEOM FDMS),0.900,R,ugm-3 (TEOM FDMS),0.10,R,ugm-3,0.10,R,ugm-3
01-01-2017,14:00,0.073563,R,mgm-3,2.200,R,ugm-3 (TEOM FDMS),0.60806,R,ugm-3,4.15491,R,ugm-3,5.08725,R,ugm-3,-0.500,R,ugm-3 (TEOM FDMS),1.200,R,ugm-3 (TEOM FDMS),65.04984,R,ugm-3,0.500,R,ugm-3 (TEOM FDMS),2.90770,R,ugm-3,2.700,R,ugm-3 (TEOM FDMS),-0.700,R,ugm-3 (TEOM FDMS),0.20,R,ugm-3,0.10,R,ugm-3
01-01-2017,15:00,0.064735,R,mgm-3,4.700,R,ugm-3 (TEOM FDMS),0.81075,R,ugm-3,4.79798,R,ugm-3,6.04111,R,ugm-3,1.400,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS),66.04869,R,ugm-3,0.300,R,ugm-3 (TEOM FDMS),3.04939,R,ugm-3,3.300,R,ugm-3 (TEOM FDMS),-1.000,R,ugm-3 (TEOM FDMS),0.20,R,ugm-3,0.10,R,ugm-3
01-01-2017,16:00,0.058850,R,mgm-3,4.300,R,ugm-3 (TEOM FDMS),0.56752,R,ugm-3,4.98015,R,ugm-3,5.85034,R,ugm-3,1.600,R,ugm-3 (TEOM FDMS),0.100,R,ugm-3 (TEOM FDMS),65.73337,R,ugm-3,-0.100,R,ugm-3 (TEOM FDMS),2.76534,R,ugm-3,2.700,R,ugm-3 (TEOM FDMS),-0.200,R,ugm-3 (TEOM FDMS),0.20,R,ugm-3,0.10,R,ugm-3
01-01-2017,17:00,0.064735,R,mgm-3,7.500,R,ugm-3 (TEOM FDMS),0.68913,R,ugm-3,5.49318,R,ugm-3,6.54983,R,ugm-3,5.000,R,ugm-3 (TEOM FDMS),3.800,R,ugm-3 (TEOM FDMS),61.15823,R,ugm-3,4.300,R,ugm-3 (TEOM FDMS),2.83652,R,ugm-3,2.500,R,ugm-3 (TEOM FDMS),0.500,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.10,R,ugm-3
01-01-2017,18:00,0.073563,R,mgm-3,8.600,R,ugm-3 (TEOM FDMS),1.37827,R,ugm-3,7.10733,R,ugm-3,9.22064,R,ugm-3,8.700,R,ugm-3 (TEOM FDMS),3.800,R,ugm-3 (TEOM FDMS),57.53004,R,ugm-3,3.500,R,ugm-3 (TEOM FDMS),2.90703,R,ugm-3,-0.100,R,ugm-3 (TEOM FDMS),-0.300,R,ugm-3 (TEOM FDMS),0.50,R,ugm-3,0.20,R,ugm-3
01-01-2017,19:00,0.082390,R,mgm-3,12.700,R,ugm-3 (TEOM FDMS),0.56752,R,ugm-3,5.48888,R,ugm-3,6.35906,R,ugm-3,11.000,R,ugm-3 (TEOM FDMS),4.200,R,ugm-3 (TEOM FDMS),56.95179,R,ugm-3,4.800,R,ugm-3 (TEOM FDMS),2.19857,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS),0.50,R,ugm-3,0.30,R,ugm-3
01-01-2017,20:00,0.085334,R,mgm-3,9.800,R,ugm-3 (TEOM FDMS),0.60806,R,ugm-3,4.98158,R,ugm-3,5.91393,R,ugm-3,9.500,R,ugm-3 (TEOM FDMS),3.200,R,ugm-3 (TEOM FDMS),57.74009,R,ugm-3,4.200,R,ugm-3 (TEOM FDMS),1.70231,R,ugm-3,0.300,R,ugm-3 (TEOM FDMS),1.000,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.30,R,ugm-3
01-01-2017,21:00,0.082390,R,mgm-3,6.400,R,ugm-3 (TEOM FDMS),0.52698,R,ugm-3,4.53358,R,ugm-3,5.34161,R,ugm-3,6.900,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS),58.94949,R,ugm-3,2.900,R,ugm-3 (TEOM FDMS),1.06370,R,ugm-3,-0.500,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.20,R,ugm-3
01-01-2017,22:00,0.079449,R,mgm-3,8.300,R,ugm-3 (TEOM FDMS),0.64860,R,ugm-3,4.53788,R,ugm-3,5.53238,R,ugm-3,7.300,R,ugm-3 (TEOM FDMS),4.300,R,ugm-3 (TEOM FDMS),57.42427,R,ugm-3,5.900,R,ugm-3 (TEOM FDMS),1.41826,R,ugm-3,1.000,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.20,R,ugm-3
