Data supplied by UK-AIR on 5/4/2008
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM10 particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"Sulphur dioxide",status,unit
 
01-01-1994,01:00,,,,,,,20,R,ugm-3,,,,,,,,,,,,
01-01-1994,02:00,1.9,R,mgm-3,,,,30,R,ugm-3,65,R,ugm-3,111,R,ugm-3,14,R,ugm-3,21,R,ugm-3
01-01-1994,03:00,1.0,R,mgm-3,18,R,ugm-3 (GRAV EQ),4,R,ugm-3,34,R,ugm-3,40,R,ugm-3,20,R,ugm-3,11,R,ugm-3
01-01-1994,04:00,1.0,R,mgm-3,17,R,ugm-3 (GRAV EQ),6,R,ugm-3,40,R,ugm-3,50,R,ugm-3,14,R,ugm-3,13,R,ugm-3
01-01-1994,05:00,0.9,R,mgm-3,16,R,ugm-3 (GRAV EQ),4,R,ugm-3,27,R,ugm-3,32,R,ugm-3,20,R,ugm-3,13,R,ugm-3
01-01-1994,06:00,1.0,R,mgm-3,18,R,ugm-3 (GRAV EQ),11,R,ugm-3,42,R,ugm-3,59,R,ugm-3,12,R,ugm-3,16,R,ugm-3
01-01-1994,07:00,1.4,R,mgm-3,22,R,ugm-3 (GRAV EQ),35,R,ugm-3,53,R,ugm-3,107,R,ugm-3,4,R,ugm-3,21,R,ugm-3
01-01-1994,08:00,1.7,R,mgm-3,23,R,ugm-3 (GRAV EQ),66,R,ugm-3,52,R,ugm-3,153,R,ugm-3,2,R,ugm-3,16,R,ugm-3
01-01-1994,09:00,2.0,R,mgm-3,26,R,ugm-3 (GRAV EQ),109,R,ugm-3,65,R,ugm-3,231,R,ugm-3,2,R,ugm-3,16,R,ugm-3
01-01-1994,10:00,3.1,R,mgm-3,31,R,ugm-3 (GRAV EQ),213,R,ugm-3,65,R,ugm-3,390,R,ugm-3,4,R,ugm-3,16,R,ugm-3
01-01-1994,11:00,3.2,R,mgm-3,35,R,ugm-3 (GRAV EQ),174,R,ugm-3,69,R,ugm-3,334,R,ugm-3,4,R,ugm-3,19,R,ugm-3
01-01-1994,12:00,2.4,R,mgm-3,33,R,ugm-3 (GRAV EQ),85,R,ugm-3,61,R,ugm-3,191,R,ugm-3,10,R,ugm-3,19,R,ugm-3
01-01-1994,13:00,1.5,R,mgm-3,9,R,ugm-3 (GRAV EQ),5,R,ugm-3,29,R,ugm-3,36,R,ugm-3,30,R,ugm-3,11,R,ugm-3
01-01-1994,14:00,0.9,R,mgm-3,16,R,ugm-3 (GRAV EQ),5,R,ugm-3,32,R,ugm-3,40,R,ugm-3,22,R,ugm-3,8,R,ugm-3
01-01-1994,15:00,1.4,R,mgm-3,12,R,ugm-3 (GRAV EQ),13,R,ugm-3,38,R,ugm-3,57,R,ugm-3,24,R,ugm-3,8,R,ugm-3
01-01-1994,16:00,1.5,R,mgm-3,14,R,ugm-3 (GRAV EQ),11,R,ugm-3,46,R,ugm-3,63,R,ugm-3,16,R,ugm-3,8,R,ugm-3
01-01-1994,17:00,1.5,R,mgm-3,14,R,ugm-3 (GRAV EQ),10,R,ugm-3,46,R,ugm-3,61,R,ugm-3,12,R,ugm-3,8,R,ugm-3
01-01-1994,18:00,1.4,R,mgm-3,12,R,ugm-3 (GRAV EQ),6,R,ugm-3,36,R,ugm-3,46,R,ugm-3,26,R,ugm-3,8,R,ugm-3
01-01-1994,19:00,1.0,R,mgm-3,4,R,ugm-3 (GRAV EQ),3,R,ugm-3,15,R,ugm-3,19,R,ugm-3,46,R,ugm-3,8,R,ugm-3
01-01-1994,20:00,0.9,R,mgm-3,4,R,ugm-3 (GRAV EQ),1,R,ugm-3,10,R,ugm-3,11,R,ugm-3,56,R,ugm-3,8,R,ugm-3
01-01-1994,21:00,0.9,R,mgm-3,0,R,ugm-3 (GRAV EQ),1,R,ugm-3,8,R,ugm-3,10,R,ugm-3,58,R,ugm-3,5,R,ugm-3
01-01-1994,22:00,0.9,R,mgm-3,1,R,ugm-3 (GRAV EQ),1,R,ugm-3,8,R,ugm-3,10,R,ugm-3,58,R,ugm-3,5,R,ugm-3
01-01-1994,23:00,0.9,R,mgm-3,3,R,ugm-3 (GRAV EQ),4,R,ugm-3,4,R,ugm-3,10,R,ugm-3,58,R,ugm-3,5,R,ugm-3
01-01-1994,24:00,0.9,R,mgm-3,8,R,ugm-3 (GRAV EQ),1,R,ugm-3,8,R,ugm-3,10,R,ugm-3,52,R,ugm-3,5,R,ugm-3
02-01-1994,01:00,1.2,R,mgm-3,10,R,ugm-3 (GRAV EQ),5,R,ugm-3,19,R,ugm-3,27,R,ugm-3,36,R,ugm-3,5,R,ugm-3
02-01-1994,02:00,0.9,R,mgm-3,14,R,ugm-3 (GRAV EQ),4,R,ugm-3,2,R,ugm-3,8,R,ugm-3,62,R,ugm-3,5,R,ugm-3
02-01-1994,03:00,0.9,R,mgm-3,25,R,ugm-3 (GRAV EQ),5,R,ugm-3,2,R,ugm-3,10,R,ugm-3,64,R,ugm-3,5,R,ugm-3
02-01-1994,04:00,0.9,R,mgm-3,21,R,ugm-3 (GRAV EQ),4,R,ugm-3,2,R,ugm-3,8,R,ugm-3,68,R,ugm-3,5,R,ugm-3
02-01-1994,05:00,0.9,R,mgm-3,29,R,ugm-3 (GRAV EQ),4,R,ugm-3,2,R,ugm-3,8,R,ugm-3,72,R,ugm-3,3,R,ugm-3
02-01-1994,06:00,0.9,R,mgm-3,42,R,ugm-3 (GRAV EQ),4,R,ugm-3,2,R,ugm-3,8,R,ugm-3,74,R,ugm-3,3,R,ugm-3
