Data supplied by UK-AIR on 10/6/2017
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Black carbon",status,unit,"UV Particulate Matter",status,unit
 
01-01-2016,01:00,0.422993,R,mgm-3,55.900,R,ugm-3 (TEOM FDMS),15.15262,R,ugm-3,54.79568,R,ugm-3,78.02936,R,ugm-3,53.300,R,ugm-3 (TEOM FDMS),30.000,R,ugm-3 (TEOM FDMS),12.85364,R,ugm-3,32.100,R,ugm-3 (TEOM FDMS),2.14114,R,ugm-3,2.600,R,ugm-3 (TEOM FDMS),2.100,R,ugm-3 (TEOM FDMS),3.30,R,ugm-3,1.30,R,ugm-3
01-01-2016,02:00,0.329857,R,mgm-3,57.200,R,ugm-3 (TEOM FDMS),37.46557,R,ugm-3,64.92491,R,ugm-3,122.37131,R,ugm-3,51.500,R,ugm-3 (TEOM FDMS),46.000,R,ugm-3 (TEOM FDMS),2.16800,R,ugm-3,48.800,R,ugm-3 (TEOM FDMS),2.58817,R,ugm-3,5.700,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS),5.40,R,ugm-3,1.00,R,ugm-3
01-01-2016,03:00,0.445307,R,mgm-3,37.200,R,ugm-3 (TEOM FDMS),44.91714,R,ugm-3,65.57341,R,ugm-3,134.44540,R,ugm-3,33.800,R,ugm-3 (TEOM FDMS),26.000,R,ugm-3 (TEOM FDMS),2.55549,R,ugm-3,27.700,R,ugm-3 (TEOM FDMS),2.87776,R,ugm-3,3.400,R,ugm-3 (TEOM FDMS),1.700,R,ugm-3 (TEOM FDMS),6.20,R,ugm-3,0.20,R,ugm-3
01-01-2016,04:00,0.101868,R,mgm-3,35.000,R,ugm-3 (TEOM FDMS),54.74181,R,ugm-3,55.21388,R,ugm-3,139.15015,R,ugm-3,31.600,R,ugm-3 (TEOM FDMS),26.100,R,ugm-3 (TEOM FDMS),26.48194,R,ugm-3,27.400,R,ugm-3 (TEOM FDMS),3.07866,R,ugm-3,3.400,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS),7.60,R,ugm-3,-0.10,R,ugm-3
01-01-2016,05:00,0.061121,R,mgm-3,13.300,R,ugm-3 (TEOM FDMS),2.58098,R,ugm-3,12.60672,R,ugm-3,16.56416,R,ugm-3,9.200,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS),54.35788,R,ugm-3,3.600,R,ugm-3 (TEOM FDMS),0.40180,R,ugm-3,4.100,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.10,R,ugm-3
01-01-2016,06:00,0.064031,R,mgm-3,13.100,R,ugm-3 (TEOM FDMS),3.03874,R,ugm-3,25.88999,R,ugm-3,30.54932,R,ugm-3,9.400,R,ugm-3 (TEOM FDMS),3.600,R,ugm-3 (TEOM FDMS),41.75603,R,ugm-3,5.700,R,ugm-3 (TEOM FDMS),0.80359,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),2.100,R,ugm-3 (TEOM FDMS),0.80,R,ugm-3,0.20,R,ugm-3
01-01-2016,07:00,0.064031,R,mgm-3,14.000,R,ugm-3 (TEOM FDMS),2.08112,R,ugm-3,21.30047,R,ugm-3,24.49148,R,ugm-3,9.000,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS),44.25315,R,ugm-3,5.500,R,ugm-3 (TEOM FDMS),0.66922,R,ugm-3,5.000,R,ugm-3 (TEOM FDMS),2.700,R,ugm-3 (TEOM FDMS),0.60,R,ugm-3,0.00,R,ugm-3
01-01-2016,08:00,0.110599,R,mgm-3,12.000,R,ugm-3 (TEOM FDMS),2.03965,R,ugm-3,29.87134,R,ugm-3,32.99875,R,ugm-3,7.300,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS),30.48931,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),0.73640,R,ugm-3,4.700,R,ugm-3 (TEOM FDMS),0.300,R,ugm-3 (TEOM FDMS),0.70,R,ugm-3,0.00,R,ugm-3
01-01-2016,09:00,0.101868,R,mgm-3,13.800,R,ugm-3 (TEOM FDMS),1.74840,R,ugm-3,23.61507,R,ugm-3,26.29592,R,ugm-3,9.200,R,ugm-3 (TEOM FDMS),3.500,R,ugm-3 (TEOM FDMS),35.13530,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),1.00383,R,ugm-3,4.600,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS),0.60,R,ugm-3,0.10,R,ugm-3
01-01-2016,10:00,0.055300,R,mgm-3,14.600,R,ugm-3 (TEOM FDMS),1.41537,R,ugm-3,12.58951,R,ugm-3,14.75972,R,ugm-3,9.200,R,ugm-3 (TEOM FDMS),1.100,R,ugm-3 (TEOM FDMS),56.68087,R,ugm-3,2.300,R,ugm-3 (TEOM FDMS),1.13687,R,ugm-3,5.400,R,ugm-3 (TEOM FDMS),1.200,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.00,R,ugm-3
