Data supplied by UK-AIR on 5/4/2008
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM10 particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"Sulphur dioxide",status,unit
 
01-01-1998,01:00,,,,16,R,ugm-3 (GRAV EQ),,,,,,,,,,,,,,,
01-01-1998,02:00,1.7,R,mgm-3,29,R,ugm-3 (GRAV EQ),49,R,ugm-3,73,R,ugm-3,147,R,ugm-3,8,R,ugm-3,5,R,ugm-3
01-01-1998,03:00,1.4,R,mgm-3,27,R,ugm-3 (GRAV EQ),44,R,ugm-3,59,R,ugm-3,126,R,ugm-3,18,R,ugm-3,8,R,ugm-3
01-01-1998,04:00,0.7,R,mgm-3,8,R,ugm-3 (GRAV EQ),3,R,ugm-3,19,R,ugm-3,23,R,ugm-3,52,R,ugm-3,5,R,ugm-3
01-01-1998,05:00,0.6,R,mgm-3,10,R,ugm-3 (GRAV EQ),4,R,ugm-3,25,R,ugm-3,31,R,ugm-3,48,R,ugm-3,5,R,ugm-3
01-01-1998,06:00,0.5,R,mgm-3,12,R,ugm-3 (GRAV EQ),4,R,ugm-3,21,R,ugm-3,27,R,ugm-3,52,R,ugm-3,5,R,ugm-3
01-01-1998,07:00,0.3,R,mgm-3,13,R,ugm-3 (GRAV EQ),10,R,ugm-3,52,R,ugm-3,67,R,ugm-3,44,R,ugm-3,5,R,ugm-3
01-01-1998,08:00,0.3,R,mgm-3,10,R,ugm-3 (GRAV EQ),4,R,ugm-3,19,R,ugm-3,25,R,ugm-3,58,R,ugm-3,5,R,ugm-3
01-01-1998,09:00,0.5,R,mgm-3,13,R,ugm-3 (GRAV EQ),4,R,ugm-3,15,R,ugm-3,21,R,ugm-3,62,R,ugm-3,3,R,ugm-3
01-01-1998,10:00,0.5,R,mgm-3,10,R,ugm-3 (GRAV EQ),4,R,ugm-3,13,R,ugm-3,19,R,ugm-3,64,R,ugm-3,3,R,ugm-3
01-01-1998,11:00,0.5,R,mgm-3,8,R,ugm-3 (GRAV EQ),4,R,ugm-3,11,R,ugm-3,17,R,ugm-3,68,R,ugm-3,3,R,ugm-3
01-01-1998,12:00,0.3,R,mgm-3,10,R,ugm-3 (GRAV EQ),4,R,ugm-3,15,R,ugm-3,21,R,ugm-3,68,R,ugm-3,3,R,ugm-3
01-01-1998,13:00,0.3,R,mgm-3,12,R,ugm-3 (GRAV EQ),4,R,ugm-3,13,R,ugm-3,19,R,ugm-3,68,R,ugm-3,3,R,ugm-3
01-01-1998,14:00,0.2,R,mgm-3,14,R,ugm-3 (GRAV EQ),4,R,ugm-3,11,R,ugm-3,17,R,ugm-3,66,R,ugm-3,3,R,ugm-3
01-01-1998,15:00,0.5,R,mgm-3,18,R,ugm-3 (GRAV EQ),4,R,ugm-3,11,R,ugm-3,17,R,ugm-3,68,R,ugm-3,3,R,ugm-3
01-01-1998,16:00,0.7,R,mgm-3,12,R,ugm-3 (GRAV EQ),4,R,ugm-3,15,R,ugm-3,21,R,ugm-3,68,R,ugm-3,3,R,ugm-3
01-01-1998,17:00,0.7,R,mgm-3,12,R,ugm-3 (GRAV EQ),4,R,ugm-3,10,R,ugm-3,15,R,ugm-3,72,R,ugm-3,3,R,ugm-3
01-01-1998,18:00,0.7,R,mgm-3,14,R,ugm-3 (GRAV EQ),4,R,ugm-3,13,R,ugm-3,19,R,ugm-3,66,R,ugm-3,3,R,ugm-3
01-01-1998,19:00,0.6,R,mgm-3,18,R,ugm-3 (GRAV EQ),4,R,ugm-3,17,R,ugm-3,23,R,ugm-3,66,R,ugm-3,3,R,ugm-3
01-01-1998,20:00,0.7,R,mgm-3,20,R,ugm-3 (GRAV EQ),4,R,ugm-3,17,R,ugm-3,23,R,ugm-3,68,R,ugm-3,5,R,ugm-3
01-01-1998,21:00,0.7,R,mgm-3,47,R,ugm-3 (GRAV EQ),4,R,ugm-3,13,R,ugm-3,19,R,ugm-3,72,R,ugm-3,3,R,ugm-3
01-01-1998,22:00,0.6,R,mgm-3,64,R,ugm-3 (GRAV EQ),4,R,ugm-3,15,R,ugm-3,21,R,ugm-3,68,R,ugm-3,3,R,ugm-3
