Data supplied by UK-AIR on 8/5/2020
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Black carbon",status,unit,"UV Particulate Matter",status,unit
 
01-01-2019,01:00,0.122085,R,mgm-3,28.600,R,ugm-3 (TEOM FDMS),,,,,,,,,,27.000,R,ugm-3 (TEOM FDMS),19.700,R,ugm-3 (TEOM FDMS),48.76160,R,ugm-3,20.800,R,ugm-3 (TEOM FDMS),0.97588,R,ugm-3,1.600,R,ugm-3 (TEOM FDMS),1.100,R,ugm-3 (TEOM FDMS),0.50,R,ugm-3,0.30,R,ugm-3
01-01-2019,02:00,0.085250,R,mgm-3,13.700,R,ugm-3 (TEOM FDMS),,,,,,,,,,13.100,R,ugm-3 (TEOM FDMS),8.200,R,ugm-3 (TEOM FDMS),43.17364,R,ugm-3,9.800,R,ugm-3 (TEOM FDMS),0.75902,R,ugm-3,0.600,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS),0.50,R,ugm-3,0.50,R,ugm-3
01-01-2019,03:00,0.075777,R,mgm-3,12.400,R,ugm-3 (TEOM FDMS),,,,,,,,,,9.900,R,ugm-3 (TEOM FDMS),6.400,R,ugm-3 (TEOM FDMS),41.61035,R,ugm-3,7.100,R,ugm-3 (TEOM FDMS),0.97588,R,ugm-3,2.500,R,ugm-3 (TEOM FDMS),0.700,R,ugm-3 (TEOM FDMS),0.50,R,ugm-3,0.30,R,ugm-3
01-01-2019,04:00,0.094722,R,mgm-3,15.400,R,ugm-3 (TEOM FDMS),,,,,,,,,,15.100,R,ugm-3 (TEOM FDMS),10.800,R,ugm-3 (TEOM FDMS),37.21981,R,ugm-3,11.400,R,ugm-3 (TEOM FDMS),1.05720,R,ugm-3,0.300,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS),0.60,R,ugm-3,0.30,R,ugm-3
01-01-2019,05:00,0.066305,R,mgm-3,12.600,R,ugm-3 (TEOM FDMS),,,,,,,,,,10.500,R,ugm-3 (TEOM FDMS),5.300,R,ugm-3 (TEOM FDMS),38.71658,R,ugm-3,7.100,R,ugm-3 (TEOM FDMS),1.13853,R,ugm-3,2.100,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS),0.70,R,ugm-3,0.40,R,ugm-3
01-01-2019,06:00,0.059990,R,mgm-3,9.900,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.200,R,ugm-3 (TEOM FDMS),4.800,R,ugm-3 (TEOM FDMS),48.54540,R,ugm-3,6.300,R,ugm-3 (TEOM FDMS),0.81323,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),1.500,R,ugm-3 (TEOM FDMS),0.70,R,ugm-3,0.10,R,ugm-3
01-01-2019,07:00,0.082092,R,mgm-3,10.700,R,ugm-3 (TEOM FDMS),,,,,,,,,,7.900,R,ugm-3 (TEOM FDMS),5.600,R,ugm-3 (TEOM FDMS),43.70583,R,ugm-3,6.700,R,ugm-3 (TEOM FDMS),0.97588,R,ugm-3,2.800,R,ugm-3 (TEOM FDMS),1.100,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.10,R,ugm-3
01-01-2019,08:00,0.085250,R,mgm-3,12.300,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.600,R,ugm-3 (TEOM FDMS),4.100,R,ugm-3 (TEOM FDMS),34.72518,R,ugm-3,4.000,R,ugm-3 (TEOM FDMS),0.89456,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),-0.100,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.10,R,ugm-3
01-01-2019,09:00,0.075777,R,mgm-3,10.000,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.900,R,ugm-3 (TEOM FDMS),6.800,R,ugm-3 (TEOM FDMS),41.01164,R,ugm-3,7.100,R,ugm-3 (TEOM FDMS),0.97588,R,ugm-3,1.100,R,ugm-3 (TEOM FDMS),0.300,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.20,R,ugm-3
01-01-2019,10:00,0.085250,R,mgm-3,11.400,R,ugm-3 (TEOM FDMS),,,,,,,,,,9.100,R,ugm-3 (TEOM FDMS),6.300,R,ugm-3 (TEOM FDMS),39.06583,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),1.38249,R,ugm-3,2.300,R,ugm-3 (TEOM FDMS),0.300,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.10,R,ugm-3
01-01-2019,11:00,0.082092,R,mgm-3,14.800,R,ugm-3 (TEOM FDMS),,,,,,,,,,14.000,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS),36.37163,R,ugm-3,5.300,R,ugm-3 (TEOM FDMS),1.21985,R,ugm-3,0.800,R,ugm-3 (TEOM FDMS),-0.100,R,ugm-3 (TEOM FDMS),,,,,,
01-01-2019,12:00,0.069462,R,mgm-3,11.300,R,ugm-3 (TEOM FDMS),,,,,,,,,,9.400,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS),48.59530,R,ugm-3,7.900,R,ugm-3 (TEOM FDMS),0.89456,R,ugm-3,1.900,R,ugm-3 (TEOM FDMS),1.200,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.30,R,ugm-3
01-01-2019,13:00,0.119980,R,mgm-3,10.800,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.000,R,ugm-3 (TEOM FDMS),4.000,R,ugm-3 (TEOM FDMS),53.03573,R,ugm-3,5.200,R,ugm-3 (TEOM FDMS),1.21985,R,ugm-3,2.800,R,ugm-3 (TEOM FDMS),1.200,R,ugm-3 (TEOM FDMS),0.50,R,ugm-3,0.10,R,ugm-3
01-01-2019,14:00,0.233646,R,mgm-3,13.500,R,ugm-3 (TEOM FDMS),,,,,,,,,,11.800,R,ugm-3 (TEOM FDMS),6.800,R,ugm-3 (TEOM FDMS),43.35658,R,ugm-3,8.000,R,ugm-3 (TEOM FDMS),1.46382,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),1.200,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.10,R,ugm-3
