Data supplied by UK-AIR on 10/5/2020
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Newport Road,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2020,01:00,37.682,P,ugm-3 (Ref.eq),25.53924,P,ugm-3,35.65305,P,ugm-3,74.81266,P,ugm-3
01-01-2020,02:00,29.952,P,ugm-3 (Ref.eq),24.46578,P,ugm-3,34.00750,P,ugm-3,71.52118,P,ugm-3
01-01-2020,03:00,27.054,P,ugm-3 (Ref.eq),30.82823,P,ugm-3,33.52633,P,ugm-3,80.79562,P,ugm-3
01-01-2020,04:00,31.885,P,ugm-3 (Ref.eq),23.04570,P,ugm-3,35.07064,P,ugm-3,70.40687,P,ugm-3
01-01-2020,05:00,28.020,P,ugm-3 (Ref.eq),16.47080,P,ugm-3,29.98033,P,ugm-3,55.23520,P,ugm-3
01-01-2020,06:00,32.851,P,ugm-3 (Ref.eq),11.94217,P,ugm-3,24.06678,P,ugm-3,42.37784,P,ugm-3
01-01-2020,07:00,28.986,P,ugm-3 (Ref.eq),7.58126,P,ugm-3,20.87895,P,ugm-3,32.50339,P,ugm-3
01-01-2020,08:00,27.054,P,ugm-3 (Ref.eq),6.37363,P,ugm-3,20.41631,P,ugm-3,30.18907,P,ugm-3
01-01-2020,09:00,28.020,P,ugm-3 (Ref.eq),6.03817,P,ugm-3,21.08496,P,ugm-3,30.34336,P,ugm-3
01-01-2020,10:00,30.918,P,ugm-3 (Ref.eq),8.72181,P,ugm-3,21.13589,P,ugm-3,34.50914,P,ugm-3
01-01-2020,11:00,30.918,P,ugm-3 (Ref.eq),16.67207,P,ugm-3,29.15742,P,ugm-3,54.72090,P,ugm-3
01-01-2020,12:00,23.189,P,ugm-3 (Ref.eq),19.12088,P,ugm-3,31.52273,P,ugm-3,60.84100,P,ugm-3
01-01-2020,13:00,21.256,P,ugm-3 (Ref.eq),33.14286,P,ugm-3,33.57733,P,ugm-3,84.39568,P,ugm-3
01-01-2020,14:00,17.392,P,ugm-3 (Ref.eq),43.30712,P,ugm-3,37.63839,P,ugm-3,104.04172,P,ugm-3
01-01-2020,15:00,21.256,P,ugm-3 (Ref.eq),53.97456,P,ugm-3,43.08795,P,ugm-3,125.84779,P,ugm-3
01-01-2020,16:00,30.918,P,ugm-3 (Ref.eq),55.41701,P,ugm-3,49.56779,P,ugm-3,134.53936,P,ugm-3
01-01-2020,17:00,31.885,P,ugm-3 (Ref.eq),55.88665,P,ugm-3,51.05916,P,ugm-3,136.75083,P,ugm-3
01-01-2020,18:00,26.087,P,ugm-3 (Ref.eq),64.54136,P,ugm-3,53.01189,P,ugm-3,151.97393,P,ugm-3
01-01-2020,19:00,26.087,P,ugm-3 (Ref.eq),48.13766,P,ugm-3,47.66624,P,ugm-3,121.47629,P,ugm-3
01-01-2020,20:00,16.425,P,ugm-3 (Ref.eq),6.17236,P,ugm-3,29.21078,P,ugm-3,38.67492,P,ugm-3
01-01-2020,21:00,16.425,P,ugm-3 (Ref.eq),3.69000,P,ugm-3,25.76546,P,ugm-3,31.42338,P,ugm-3
01-01-2020,22:00,24.155,P,ugm-3 (Ref.eq),2.31463,P,ugm-3,20.10848,P,ugm-3,23.65753,P,ugm-3
01-01-2020,23:00,23.189,P,ugm-3 (Ref.eq),2.21400,P,ugm-3,20.15993,P,ugm-3,23.55467,P,ugm-3
01-01-2020,24:00,24.155,P,ugm-3 (Ref.eq),2.28109,P,ugm-3,24.73713,P,ugm-3,28.23475,P,ugm-3
02-01-2020,01:00,17.392,P,ugm-3 (Ref.eq),6.88929,P,ugm-3,22.77218,P,ugm-3,33.33560,P,ugm-3
02-01-2020,02:00,15.459,P,ugm-3 (Ref.eq),0.40262,P,ugm-3,12.34650,P,ugm-3,12.96385,P,ugm-3
02-01-2020,03:00,13.527,P,ugm-3 (Ref.eq),2.21441,P,ugm-3,9.77423,P,ugm-3,13.16962,P,ugm-3
02-01-2020,04:00,9.662,P,ugm-3 (Ref.eq),0.13421,P,ugm-3,10.34021,P,ugm-3,10.54599,P,ugm-3
02-01-2020,05:00,10.628,P,ugm-3 (Ref.eq),0.36907,P,ugm-3,9.10554,P,ugm-3,9.67144,P,ugm-3
02-01-2020,06:00,8.696,P,ugm-3 (Ref.eq),0.57038,P,ugm-3,12.75805,P,ugm-3,13.63262,P,ugm-3
02-01-2020,07:00,12.561,P,ugm-3 (Ref.eq),0.93945,P,ugm-3,18.98273,P,ugm-3,20.42320,P,ugm-3
02-01-2020,08:00,14.493,P,ugm-3 (Ref.eq),4.29462,P,ugm-3,34.87873,P,ugm-3,41.46373,P,ugm-3
02-01-2020,09:00,15.459,P,ugm-3 (Ref.eq),2.71769,P,ugm-3,34.67302,P,ugm-3,38.84009,P,ugm-3
02-01-2020,10:00,11.594,P,ugm-3 (Ref.eq),2.18086,P,ugm-3,30.60899,P,ugm-3,33.95293,P,ugm-3
02-01-2020,11:00,,,,,,,,,,,,
02-01-2020,12:00,,,,2.50520,P,ugm-3,27.09364,P,ugm-3,30.93489,P,ugm-3
02-01-2020,13:00,16.425,P,ugm-3 (Ref.eq),7.68334,P,ugm-3,31.99774,P,ugm-3,43.77870,P,ugm-3
02-01-2020,14:00,13.527,P,ugm-3 (Ref.eq),2.48283,P,ugm-3,21.60630,P,ugm-3,25.41325,P,ugm-3
02-01-2020,15:00,13.527,P,ugm-3 (Ref.eq),1.64404,P,ugm-3,24.02420,P,ugm-3,26.54502,P,ugm-3
02-01-2020,16:00,8.696,P,ugm-3 (Ref.eq),1.04010,P,ugm-3,23.61267,P,ugm-3,25.20748,P,ugm-3
02-01-2020,17:00,6.763,P,ugm-3 (Ref.eq),0.77169,P,ugm-3,18.98274,P,ugm-3,20.16598,P,ugm-3
02-01-2020,18:00,10.628,P,ugm-3 (Ref.eq),2.21441,P,ugm-3,22.06931,P,ugm-3,25.46470,P,ugm-3
02-01-2020,19:00,7.730,P,ugm-3 (Ref.eq),0.83879,P,ugm-3,14.71290,P,ugm-3,15.99903,P,ugm-3
02-01-2020,20:00,9.662,P,ugm-3 (Ref.eq),2.01310,P,ugm-3,19.34279,P,ugm-3,22.42951,P,ugm-3
02-01-2020,21:00,8.696,P,ugm-3 (Ref.eq),1.94600,P,ugm-3,13.22098,P,ugm-3,16.20481,P,ugm-3
02-01-2020,22:00,6.763,P,ugm-3 (Ref.eq),0.90590,P,ugm-3,17.64520,P,ugm-3,19.03422,P,ugm-3
02-01-2020,23:00,8.696,P,ugm-3 (Ref.eq),3.65714,P,ugm-3,22.22358,P,ugm-3,27.83111,P,ugm-3
02-01-2020,24:00,4.831,P,ugm-3 (Ref.eq),0.20131,P,ugm-3,10.13443,P,ugm-3,10.44310,P,ugm-3
03-01-2020,01:00,4.831,P,ugm-3 (Ref.eq),0.00000,P,ugm-3,8.58916,P,ugm-3,8.58916,P,ugm-3
03-01-2020,02:00,3.865,P,ugm-3 (Ref.eq),0.26881,P,ugm-3,2.54250,P,ugm-3,2.95467,P,ugm-3
03-01-2020,03:00,3.865,P,ugm-3 (Ref.eq),0.23521,P,ugm-3,2.16456,P,ugm-3,2.52521,P,ugm-3
03-01-2020,04:00,3.865,P,ugm-3 (Ref.eq),0.26881,P,ugm-3,2.16458,P,ugm-3,2.57675,P,ugm-3
03-01-2020,05:00,4.831,P,ugm-3 (Ref.eq),0.23521,P,ugm-3,2.47377,P,ugm-3,2.83442,P,ugm-3
03-01-2020,06:00,3.865,P,ugm-3 (Ref.eq),1.10885,P,ugm-3,4.58706,P,ugm-3,6.28726,P,ugm-3
03-01-2020,07:00,8.696,P,ugm-3 (Ref.eq),6.35066,P,ugm-3,17.78211,P,ugm-3,27.51965,P,ugm-3
03-01-2020,08:00,5.797,P,ugm-3 (Ref.eq),17.90954,P,ugm-3,26.03235,P,ugm-3,53.49326,P,ugm-3
03-01-2020,09:00,6.763,P,ugm-3 (Ref.eq),18.37996,P,ugm-3,26.23868,P,ugm-3,54.42089,P,ugm-3
03-01-2020,10:00,8.696,P,ugm-3 (Ref.eq),23.89058,P,ugm-3,46.44260,P,ugm-3,83.07431,P,ugm-3
03-01-2020,11:00,10.628,P,ugm-3 (Ref.eq),39.91844,P,ugm-3,56.13762,P,ugm-3,117.34504,P,ugm-3
03-01-2020,12:00,21.256,P,ugm-3 (Ref.eq),24.69701,P,ugm-3,39.74338,P,ugm-3,77.61161,P,ugm-3
03-01-2020,13:00,18.358,P,ugm-3 (Ref.eq),29.43481,P,ugm-3,41.49748,P,ugm-3,86.63022,P,ugm-3
03-01-2020,14:00,21.256,P,ugm-3 (Ref.eq),24.93222,P,ugm-3,37.78515,P,ugm-3,76.01402,P,ugm-3
03-01-2020,15:00,27.054,P,ugm-3 (Ref.eq),30.81247,P,ugm-3,42.52873,P,ugm-3,89.77385,P,ugm-3
03-01-2020,16:00,27.054,P,ugm-3 (Ref.eq),41.66571,P,ugm-3,57.73590,P,ugm-3,121.62244,P,ugm-3
03-01-2020,17:00,20.290,P,ugm-3 (Ref.eq),9.61000,P,ugm-3,44.47852,P,ugm-3,59.21364,P,ugm-3
03-01-2020,18:00,27.054,P,ugm-3 (Ref.eq),14.91901,P,ugm-3,56.53983,P,ugm-3,79.41533,P,ugm-3
03-01-2020,19:00,28.020,P,ugm-3 (Ref.eq),32.52614,P,ugm-3,75.92405,P,ugm-3,125.79677,P,ugm-3
03-01-2020,20:00,21.256,P,ugm-3 (Ref.eq),10.34923,P,ugm-3,53.49743,P,ugm-3,69.36602,P,ugm-3
03-01-2020,21:00,21.256,P,ugm-3 (Ref.eq),14.01178,P,ugm-3,52.98355,P,ugm-3,74.46797,P,ugm-3
03-01-2020,22:00,23.189,P,ugm-3 (Ref.eq),7.05629,P,ugm-3,40.20009,P,ugm-3,51.01958,P,ugm-3
03-01-2020,23:00,32.851,P,ugm-3 (Ref.eq),55.97990,P,ugm-3,64.54428,P,ugm-3,150.37893,P,ugm-3
03-01-2020,24:00,27.054,P,ugm-3 (Ref.eq),26.71310,P,ugm-3,58.29677,P,ugm-3,99.25628,P,ugm-3
04-01-2020,01:00,31.885,P,ugm-3 (Ref.eq),71.29533,P,ugm-3,64.28316,P,ugm-3,173.60114,P,ugm-3
04-01-2020,02:00,24.155,P,ugm-3 (Ref.eq),48.81644,P,ugm-3,46.98661,P,ugm-3,121.83744,P,ugm-3
04-01-2020,03:00,25.121,P,ugm-3 (Ref.eq),7.26862,P,ugm-3,34.33747,P,ugm-3,45.48253,P,ugm-3
04-01-2020,04:00,28.020,P,ugm-3 (Ref.eq),13.59502,P,ugm-3,38.93754,P,ugm-3,59.78295,P,ugm-3
04-01-2020,05:00,19.324,P,ugm-3 (Ref.eq),0.74032,P,ugm-3,19.72177,P,ugm-3,20.85692,P,ugm-3
04-01-2020,06:00,22.223,P,ugm-3 (Ref.eq),0.43746,P,ugm-3,17.55322,P,ugm-3,18.22399,P,ugm-3
04-01-2020,07:00,14.493,P,ugm-3 (Ref.eq),0.20191,P,ugm-3,18.68880,P,ugm-3,18.99838,P,ugm-3
04-01-2020,08:00,14.493,P,ugm-3 (Ref.eq),6.62925,P,ugm-3,25.76700,P,ugm-3,35.93172,P,ugm-3
04-01-2020,09:00,8.696,P,ugm-3 (Ref.eq),2.49018,P,ugm-3,16.88382,P,ugm-3,20.70204,P,ugm-3
04-01-2020,10:00,5.797,P,ugm-3 (Ref.eq),1.61525,P,ugm-3,18.32861,P,ugm-3,20.80529,P,ugm-3
04-01-2020,11:00,9.662,P,ugm-3 (Ref.eq),2.62478,P,ugm-3,18.12296,P,ugm-3,22.14757,P,ugm-3
04-01-2020,12:00,8.696,P,ugm-3 (Ref.eq),7.87434,P,ugm-3,21.89611,P,ugm-3,33.96993,P,ugm-3
04-01-2020,13:00,16.425,P,ugm-3 (Ref.eq),6.89846,P,ugm-3,22.97943,P,ugm-3,33.55692,P,ugm-3
04-01-2020,14:00,13.527,P,ugm-3 (Ref.eq),6.99942,P,ugm-3,23.90878,P,ugm-3,34.64107,P,ugm-3
04-01-2020,15:00,9.662,P,ugm-3 (Ref.eq),7.26862,P,ugm-3,27.57446,P,ugm-3,38.71952,P,ugm-3
04-01-2020,16:00,9.662,P,ugm-3 (Ref.eq),2.35557,P,ugm-3,27.72517,P,ugm-3,31.33700,P,ugm-3
04-01-2020,17:00,13.527,P,ugm-3 (Ref.eq),1.11048,P,ugm-3,24.67818,P,ugm-3,26.38090,P,ugm-3
04-01-2020,18:00,8.696,P,ugm-3 (Ref.eq),2.49018,P,ugm-3,34.07529,P,ugm-3,37.89351,P,ugm-3
04-01-2020,19:00,12.561,P,ugm-3 (Ref.eq),1.21144,P,ugm-3,30.09900,P,ugm-3,31.95651,P,ugm-3
04-01-2020,20:00,9.662,P,ugm-3 (Ref.eq),1.34604,P,ugm-3,25.03977,P,ugm-3,27.10367,P,ugm-3
04-01-2020,21:00,6.763,P,ugm-3 (Ref.eq),3.43241,P,ugm-3,28.03584,P,ugm-3,33.29879,P,ugm-3
04-01-2020,22:00,6.763,P,ugm-3 (Ref.eq),0.70667,P,ugm-3,26.53638,P,ugm-3,27.61993,P,ugm-3
04-01-2020,23:00,6.763,P,ugm-3 (Ref.eq),0.84128,P,ugm-3,24.41983,P,ugm-3,25.70976,P,ugm-3
04-01-2020,24:00,8.696,P,ugm-3 (Ref.eq),0.47111,P,ugm-3,20.59919,P,ugm-3,21.32155,P,ugm-3
05-01-2020,01:00,8.696,P,ugm-3 (Ref.eq),0.31454,P,ugm-3,17.44632,P,ugm-3,17.92861,P,ugm-3
05-01-2020,02:00,5.797,P,ugm-3 (Ref.eq),0.31454,P,ugm-3,9.58531,P,ugm-3,10.06760,P,ugm-3
05-01-2020,03:00,6.763,P,ugm-3 (Ref.eq),0.20221,P,ugm-3,10.39541,P,ugm-3,10.70545,P,ugm-3
05-01-2020,04:00,9.662,P,ugm-3 (Ref.eq),0.13480,P,ugm-3,9.61956,P,ugm-3,9.82626,P,ugm-3
05-01-2020,05:00,6.763,P,ugm-3 (Ref.eq),0.23590,P,ugm-3,8.58535,P,ugm-3,8.94706,P,ugm-3
05-01-2020,06:00,4.831,P,ugm-3 (Ref.eq),0.20221,P,ugm-3,8.89561,P,ugm-3,9.20565,P,ugm-3
05-01-2020,07:00,4.831,P,ugm-3 (Ref.eq),14.28909,P,ugm-3,15.63700,P,ugm-3,37.54664,P,ugm-3
05-01-2020,08:00,5.797,P,ugm-3 (Ref.eq),0.53921,P,ugm-3,11.27503,P,ugm-3,12.10181,P,ugm-3
05-01-2020,09:00,4.831,P,ugm-3 (Ref.eq),0.26961,P,ugm-3,10.60236,P,ugm-3,11.01575,P,ugm-3
05-01-2020,10:00,2.899,P,ugm-3 (Ref.eq),2.59495,P,ugm-3,17.89748,P,ugm-3,21.87635,P,ugm-3
05-01-2020,11:00,4.831,P,ugm-3 (Ref.eq),1.61763,P,ugm-3,16.60329,P,ugm-3,19.08362,P,ugm-3
05-01-2020,12:00,4.831,P,ugm-3 (Ref.eq),2.46015,P,ugm-3,16.86296,P,ugm-3,20.63514,P,ugm-3
05-01-2020,13:00,5.797,P,ugm-3 (Ref.eq),4.01038,P,ugm-3,14.58940,P,ugm-3,20.73857,P,ugm-3
05-01-2020,14:00,11.594,P,ugm-3 (Ref.eq),3.10046,P,ugm-3,16.81207,P,ugm-3,21.56604,P,ugm-3
05-01-2020,15:00,9.662,P,ugm-3 (Ref.eq),1.81984,P,ugm-3,18.46536,P,ugm-3,21.25574,P,ugm-3
05-01-2020,16:00,12.561,P,ugm-3 (Ref.eq),7.27935,P,ugm-3,21.36856,P,ugm-3,32.53008,P,ugm-3
05-01-2020,17:00,13.527,P,ugm-3 (Ref.eq),3.87558,P,ugm-3,25.81185,P,ugm-3,31.75432,P,ugm-3
05-01-2020,18:00,10.628,P,ugm-3 (Ref.eq),1.98834,P,ugm-3,19.65507,P,ugm-3,22.70382,P,ugm-3
05-01-2020,19:00,7.730,P,ugm-3 (Ref.eq),1.78614,P,ugm-3,15.82775,P,ugm-3,18.56645,P,ugm-3
05-01-2020,20:00,7.730,P,ugm-3 (Ref.eq),0.87622,P,ugm-3,18.46415,P,ugm-3,19.80766,P,ugm-3
05-01-2020,21:00,11.594,P,ugm-3 (Ref.eq),2.52755,P,ugm-3,19.13860,P,ugm-3,23.01412,P,ugm-3
05-01-2020,22:00,10.628,P,ugm-3 (Ref.eq),0.50551,P,ugm-3,17.58448,P,ugm-3,18.35958,P,ugm-3
05-01-2020,23:00,10.628,P,ugm-3 (Ref.eq),0.57291,P,ugm-3,15.77446,P,ugm-3,16.65292,P,ugm-3
05-01-2020,24:00,9.662,P,ugm-3 (Ref.eq),1.75244,P,ugm-3,14.43134,P,ugm-3,17.11837,P,ugm-3
06-01-2020,01:00,12.561,P,ugm-3 (Ref.eq),0.27000,P,ugm-3,6.77008,P,ugm-3,7.18408,P,ugm-3
06-01-2020,02:00,14.493,P,ugm-3 (Ref.eq),0.13500,P,ugm-3,4.35213,P,ugm-3,4.55913,P,ugm-3
06-01-2020,03:00,11.594,P,ugm-3 (Ref.eq),0.43875,P,ugm-3,2.74660,P,ugm-3,3.41934,P,ugm-3
06-01-2020,04:00,13.527,P,ugm-3 (Ref.eq),0.30375,P,ugm-3,2.90179,P,ugm-3,3.36754,P,ugm-3
06-01-2020,05:00,12.561,P,ugm-3 (Ref.eq),0.30375,P,ugm-3,2.53913,P,ugm-3,3.00488,P,ugm-3
06-01-2020,06:00,14.493,P,ugm-3 (Ref.eq),0.13500,P,ugm-3,4.71478,P,ugm-3,4.92178,P,ugm-3
06-01-2020,07:00,15.459,P,ugm-3 (Ref.eq),0.43875,P,ugm-3,6.78764,P,ugm-3,7.46039,P,ugm-3
06-01-2020,08:00,15.459,P,ugm-3 (Ref.eq),1.35001,P,ugm-3,15.64842,P,ugm-3,17.71842,P,ugm-3
06-01-2020,09:00,17.392,P,ugm-3 (Ref.eq),12.92638,P,ugm-3,21.10833,P,ugm-3,40.92851,P,ugm-3
06-01-2020,10:00,15.459,P,ugm-3 (Ref.eq),2.56503,P,ugm-3,15.33968,P,ugm-3,19.27266,P,ugm-3
06-01-2020,11:00,14.493,P,ugm-3 (Ref.eq),3.03753,P,ugm-3,17.30921,P,ugm-3,21.96669,P,ugm-3
06-01-2020,12:00,15.459,P,ugm-3 (Ref.eq),2.49753,P,ugm-3,12.90458,P,ugm-3,16.73406,P,ugm-3
